date,feature_index,NO2
2022-07-14T00:00:00.000Z,0,4.165061035463522E-5
2022-07-12T00:00:00.000Z,0,2.8745083692110317E-5
2022-07-15T00:00:00.000Z,0,2.471750557010693E-5
2022-07-13T00:00:00.000Z,0,2.4778569656925183E-5
2022-07-11T00:00:00.000Z,0,1.6575262634432875E-5
2022-07-16T00:00:00.000Z,0,2.657826707801423E-5
2022-07-18T00:00:00.000Z,0,2.4882955420823646E-5
2022-07-17T00:00:00.000Z,0,
2022-09-20T00:00:00.000Z,0,2.006067885910549E-5
2022-09-13T00:00:00.000Z,0,3.31000255820462E-5
2022-09-15T00:00:00.000Z,0,3.4408609519687164E-5
2022-09-14T00:00:00.000Z,0,3.259148765303111E-5
2022-09-18T00:00:00.000Z,0,2.5543210023486262E-5
2022-09-19T00:00:00.000Z,0,3.441778083819027E-5
2022-09-17T00:00:00.000Z,0,3.4206963408593507E-5
2022-09-16T00:00:00.000Z,0,3.493215643204882E-5
2022-12-16T00:00:00.000Z,0,1.6197955346797244E-5
2022-12-12T00:00:00.000Z,0,2.133821668167002E-5
2022-12-15T00:00:00.000Z,0,2.69633159512202E-5
2022-12-17T00:00:00.000Z,0,1.0027519750479584E-5
2022-12-13T00:00:00.000Z,0,2.9175511512081495E-5
2022-12-14T00:00:00.000Z,0,2.4663903403913872E-5
2022-12-11T00:00:00.000Z,0,1.8152238704014378E-5
2022-12-10T00:00:00.000Z,0,1.7991545096124475E-5
2024-08-15T00:00:00.000Z,0,3.203645806926597E-5
2024-08-13T00:00:00.000Z,0,3.0348205124055797E-5
2024-08-12T00:00:00.000Z,0,3.296488080195559E-5
2024-08-10T00:00:00.000Z,0,2.6752098501549894E-5
2024-08-16T00:00:00.000Z,0,2.6003719579796937E-5
2024-08-11T00:00:00.000Z,0,2.4578317973578123E-5
2024-08-09T00:00:00.000Z,0,2.732278977718228E-5
2024-08-14T00:00:00.000Z,0,3.070026563709291E-5
2024-09-27T00:00:00.000Z,0,4.892614299370464E-5
2024-09-29T00:00:00.000Z,0,5.402228532802199E-5
2024-10-02T00:00:00.000Z,0,3.9399441651479914E-5
2024-09-26T00:00:00.000Z,0,4.9663307563182464E-5
2024-09-28T00:00:00.000Z,0,4.0567015562436146E-5
2024-10-03T00:00:00.000Z,0,4.262875609128969E-5
2024-09-30T00:00:00.000Z,0,3.631070001858178E-5
2024-10-01T00:00:00.000Z,0,3.509351487469125E-5
2024-10-21T00:00:00.000Z,0,
2024-10-20T00:00:00.000Z,0,
2024-10-23T00:00:00.000Z,0,2.2466876562370298E-5
2024-10-25T00:00:00.000Z,0,3.179063687932813E-5
2024-10-26T00:00:00.000Z,0,2.748904069948929E-5
2024-10-24T00:00:00.000Z,0,2.8303023732516478E-5
2024-10-27T00:00:00.000Z,0,2.454690900700977E-5
2024-10-22T00:00:00.000Z,0,2.1689550249770673E-5
2024-11-18T00:00:00.000Z,0,2.8031961911827758E-5
2024-11-19T00:00:00.000Z,0,3.1314532103957994E-5
2024-11-16T00:00:00.000Z,0,
2024-11-14T00:00:00.000Z,0,1.959550401807064E-5
2024-11-20T00:00:00.000Z,0,2.8045276849297807E-5
2024-11-15T00:00:00.000Z,0,4.145358737635737E-5
2024-11-13T00:00:00.000Z,0,2.909113150532281E-5
2024-11-17T00:00:00.000Z,0,2.000973736651377E-5
2024-12-12T00:00:00.000Z,0,
2024-12-09T00:00:00.000Z,0,
2024-12-13T00:00:00.000Z,0,3.264933366153855E-5
2024-12-08T00:00:00.000Z,0,
2024-12-14T00:00:00.000Z,0,
2024-12-10T00:00:00.000Z,0,
2024-12-07T00:00:00.000Z,0,
2024-12-11T00:00:00.000Z,0,2.5557203101589904E-5
2025-01-04T00:00:00.000Z,0,9.645842723053331E-6
2025-01-02T00:00:00.000Z,0,1.2324630006332882E-5
2025-01-06T00:00:00.000Z,0,3.765611199924024E-5
2025-01-01T00:00:00.000Z,0,
2025-01-03T00:00:00.000Z,0,2.7104438357547713E-5
